,epoch,loss,acc
0,0,0.06593069169782306,97.49699982856163
1,1,0.05753667418885711,97.70272587004972
2,2,0.47270648472540366,85.54774558546202
3,3,0.0023159497416952927,99.94856848962797
4,4,1.1523996135576176,69.19252528715927
5,5,0.3837609905342424,88.99365678038745
6,6,0.0005817758089004281,100.0
7,7,0.0033123677143909146,100.0
8,8,0.005086464225513354,99.87999314246528
9,9,0.00017693487827939172,100.0
10,10,0.0007540556209596368,100.0
11,11,0.0008120171558333365,100.0
12,12,0.0013654242407898241,99.98285616320932
13,13,0.0005550767777532087,100.0
14,14,0.0018160543880438753,99.98285616320932
15,15,0.00013410607001678528,100.0
16,16,9.372509672533345e-05,100.0
17,17,0.001695208935505762,100.0
18,18,0.0001243995914299008,100.0
19,19,0.00014836855910691722,100.0
20,20,8.233450444343566e-05,100.0
21,21,0.00038422863500506385,100.0
22,22,0.001183552634488404,100.0
23,23,0.0008608180485610771,99.98285616320932
24,24,0.007499712032852491,99.81141779530259
25,25,0.0005023434849414126,99.98285616320932
26,26,0.000637750572214365,99.98285616320932
27,27,0.00016896955947460235,100.0
28,28,0.0008888118887635691,99.98285616320932
29,29,9.693535532994142e-05,100.0
30,30,0.00016236573084248558,100.0
31,31,0.00010592708987217425,100.0
32,32,7.165716357380146e-05,100.0
33,33,8.680738319973718e-05,100.0
34,34,7.366863109794897e-05,100.0
35,35,7.275201338773916e-05,100.0
36,36,7.919129891471115e-05,100.0
37,37,7.430448788814988e-05,100.0
38,38,7.73331749232817e-05,100.0
39,39,7.712358969190655e-05,100.0
40,40,6.040432704214224e-05,100.0
41,41,7.996982001296586e-05,100.0
42,42,6.273452097092723e-05,100.0
43,43,5.062447042271871e-05,100.0
44,44,0.00010869808496754359,100.0
45,45,7.046405633699295e-05,100.0
46,46,5.284100654803371e-05,100.0
47,47,5.598024880698271e-05,100.0
48,48,5.398605591209594e-05,100.0
49,49,6.182854456243457e-05,100.0
50,50,4.7274069007083896e-05,100.0
51,51,5.5251560952406504e-05,100.0
52,52,0.00010031731097840578,100.0
53,53,5.7177210910992615e-05,100.0
54,54,4.5622365466388046e-05,100.0
55,55,6.725772913132907e-05,100.0
56,56,6.76638576512774e-05,100.0
57,57,0.00011949003017116659,100.0
58,58,6.798097553501613e-05,100.0
59,59,6.301296591113474e-05,100.0
60,60,6.473279187107959e-05,100.0
61,61,9.139446527244287e-05,100.0
62,62,4.8763757895059944e-05,100.0
63,63,4.752130048174996e-05,100.0
64,64,5.8835389841501164e-05,100.0
65,65,5.0428792252463746e-05,100.0
66,66,4.4321337126064943e-05,100.0
67,67,5.212283422150024e-05,100.0
68,68,4.353017226601311e-05,100.0
69,69,4.658819273676958e-05,100.0
70,70,5.2335932940246506e-05,100.0
71,71,4.431933905939108e-05,100.0
